gan_acum,gan_suavizada,envio,celda,semilla
-228.375,-228.3875,18775,A,100103
-229,-229.0125,18800,A,100103
-229.625,-229.6375,18825,A,100103
-230.25,-230.2625,18850,A,100103
-230.875,-230.8875,18875,A,100103
-231.5,-231.5125,18900,A,100103
-232.125,-232.1375,18925,A,100103
-232.75,-232.7625,18950,A,100103
-233.375,-233.3875,18975,A,100103
-234,-234.0125,19000,A,100103
-234.625,-234.6375,19025,A,100103
-235.25,-235.2625,19050,A,100103
-235.875,-235.8875,19075,A,100103
-236.5,-236.5125,19100,A,100103
-237.125,-237.1375,19125,A,100103
-237.75,-237.7625,19150,A,100103
-238.375,-238.3875,19175,A,100103
-239,-239.0125,19200,A,100103
-239.625,-239.6375,19225,A,100103
-240.25,-240.2625,19250,A,100103
-240.875,-240.8875,19275,A,100103
-241.5,-241.5125,19300,A,100103
-242.125,-242.1375,19325,A,100103
-242.75,-242.7625,19350,A,100103
-243.375,-243.3875,19375,A,100103
-244,-244.0125,19400,A,100103
-244.625,-244.6375,19425,A,100103
-245.25,-245.2625,19450,A,100103
-245.875,-245.8875,19475,A,100103
-246.5,-246.5125,19500,A,100103
-247.125,-247.1375,19525,A,100103
-247.75,-247.7625,19550,A,100103
